bbc.mobile.news.ww	com.mobile.MainActivity
com.google.android.inputmethod.latin	com.google.android.libraries.inputmethod.launcher.LauncherActivity
com.google.android.keep	.activities.BrowseActivity
com.google.android.marvin.talkback	com.google.android.accessibility.talkback.preference.GestureChangeNotificationActivity
com.google.android.music	.tombstone.LauncherActivity
com.google.android.play.games	com.google.android.apps.play.games.features.gamefolder.appdrawer.GameFolderAppDrawerActivity
com.google.android.projection.gearhead	.frx.SetupActivity
com.google.android.projection.gearhead	.setup.SetupService
com.google.android.settings.intelligence	.modules.suggestions.NightlightTrampolineActivity
com.google.android.videos	.activity.LauncherActivity
com.google.android.youtube	com.google.android.apps.youtube.app.application.Shell_SettingsActivity
com.google.ar.lens	com.google.vr.apps.ornament.app.lens.LensLauncherActivity
com.google.audio.hearing.visualization.accessibility.scribe	.MainActivity
com.hulu.plus	com.hulu.features.splash.SplashActivity
com.imdb.mobile	.HomeActivity
com.instacart.client	.browse.ICBrowseActivity
com.isonas.puremobile	.ui.MainActivity
com.jefftharris.passwdsafe	.FileListActivity
com.joetech.tvremote	.MainActivity
com.kayak.android	.splash.SplashActivity
com.kingsoopers.mobile	com.kroger.mobile.BannerSelectionActivity
com.kingsoopers.mobile	com.qualtrics.digital.QualtricsNotificationManager
com.linkedin.android	.authenticator.DiwaliActivityAlias
com.linkedin.android	com.qualtrics.digital.QualtricsNotificationManager
com.mapollc.mapofire	.SyncActivity
com.media.bestrecorder.audiorecorder	.NavigationActivity
com.microsoft.amp.apps.bingnews	com.microsoft.sapphire.app.main.SapphireMainActivity
com.microsoft.appmanager	.StartUpActivity
com.microsoft.launcher	.LauncherActivity
com.microsoft.office.excel	.excelMainActivity
com.microsoft.office.officehubrow	com.microsoft.office.officesuite.OfficeSuiteActivity
com.microsoft.office.onenote	.ui.ONMSplashActivity
com.microsoft.office.outlook	.MainActivity
com.microsoft.office.word	.WordActivity
com.microsoft.skydrive	.MainActivity
com.mobile.uhc	.SplashActivity
com.mobile.uhc	com.qualtrics.digital.QualtricsNotificationManager
com.monarchmoney.mobile	.MainActivity
com.morganstanley.clientmobile.prod	com.morganstanley.mscordova.shim.MSShimActivity
com.nclh.ncl_mobile	.MainActivity
com.nytimes.android	.MainActivity
com.nytimes.cooking	.SplashScreenActivity
com.nytimes.crossword	com.nytimes.games.core.activity.MainActivity
com.omronhealthcare.omronconnect	com.omronhealthcare.foresight.view.module.splash.SplashActivity
com.onepeloton.callisto	.MainActivity
com.openai.chatgpt	.MainActivity
com.opentable	.activities.search.SearchResults
com.optum.rx	.SplashActivity
com.optum.rx	com.qualtrics.digital.QualtricsNotificationManager
com.parcelpendingmobile.app	.MainActivity
com.pbs.video	.StartupActivity
com.podcast.podcasts	fm.castbox.ui.main.MainActivity
com.purplecover.anylist	.ui.LaunchActivity
com.resmed.myair	com.resmed.mon.presentation.workflow.authentication.launch.LaunchActivity
com.rfit.glycemicindextracker	.MainActivity
com.rhmsoft.edit.pro	com.rhmsoft.edit.activity.MainActivity
com.shazam.android	.activities.SplashActivity
com.sillens.shapeupclub	com.lifesum.android.main.MainActivity
com.socialnmobile.dictapps.notepad.color.note	com.socialnmobile.colornote.activity.Main
com.southwestairlines.mobile	.common.splash.SplashActivity
com.southwestairlines.mobile	com.qualtrics.digital.QualtricsNotificationManager
com.sportclips.ultimatemvp	.MainActivity
com.spotify.music	.SpotifyMainActivity
com.toddkushnerllc.android_adaptive_ui	.MainActivity
com.toddkushnerllc.android_binary_counting_app	.MainActivity
com.toddkushnerllc.android_count_app	.MainActivity
com.toddkushnerllc.android_organizer_project_app	.MainActivity
com.toddkushnerllc.com.android_pointer_demo	.MainActivity
com.toyota.oneapp	.ui.splash.SplashActivity
com.tplink.tether	.WelcomeActivity
com.treemolabs.apps.cbsnews	.ui.activities.StartActivity
com.treemolabs.apps.cbsnews	com.qualtrics.digital.QualtricsNotificationManager
com.ubercab	.presidio.app.core.root.RootActivity
com.uchealth.mobile	.activities.SplashActivity
com.united.mobile.android	.ui.splash.SplashActivity
com.united.mobile.android	com.qualtrics.digital.QualtricsNotificationManager
com.ups.mobile.android	.MainActivity
com.ups.mobile.android	com.qualtrics.digital.QualtricsNotificationManager
com.vcast.mediamanager	.gui.activities.SplashLogoActivity
com.venmo	.android.platform.AppExperienceLauncherActivity
