com.socialnmobile.dictapps.notepad.color.note	com.socialnmobile.colornote.activity.Main
com.southwestairlines.mobile	com.southwestairlines.mobile.common.splash.SplashActivity
com.sportclips.ultimatemvp	com.sportclips.ultimatemvp.MainActivity
com.spotify.music	com.spotify.music.SpotifyMainActivity
com.toyota.oneapp	com.toyota.oneapp.ui.splash.SplashActivity
com.tplink.tether	com.tplink.tether.WelcomeActivity
com.treemolabs.apps.cbsnews	com.treemolabs.apps.cbsnews.ui.activities.StartActivity
com.ubercab	com.ubercab.presidio.app.core.root.RootActivity
com.uchealth.mobile	com.uchealth.mobile.activities.SplashActivity
com.united.mobile.android	com.united.mobile.android.ui.splash.SplashActivity
com.ups.mobile.android	com.ups.mobile.android.MainActivity
com.vcast.mediamanager	com.vcast.mediamanager.gui.activities.SplashLogoActivity
com.veho.consumermobile	com.veho.consumermobile.MainActivity
com.venmo	com.venmo.android.platform.AppExperienceLauncherActivity
com.verizon.messaging.vzmsgs	com.verizon.mms.ui.activity.Provisioning
com.vrbo.android	com.expedia.bookings.activity.SearchActivity
com.vzw.hss.myverizon	com.vzw.mobilefirst.setup.views.activity.SetUpActivity
com.wbd.stream	com.wbd.fuse.appcore.FuseActivity
com.withings.wiscale2	com.withings.wiscale2.MainActivity
com.yelp.android	com.yelp.android.home.ui.RootSingleActivity
com.zillow.android.zillowmap	com.zillow.android.splashscreen.SplashScreenActivity
cz.ackee.ventusky	cz.ackee.ventusky.screens.main.MainActivity
cz.hipercalc.pro	app.hipercalc.CalculatorActivity
gov.dhs.tsa.mytsa	gov.dhs.mytsa.ui.splash.SplashActivity
jbl.stc.com	jbl.stc.com.activity.LauncherStartActivity
me.lyft.android	me.lyft.android.ui.MainActivity
me.proton.android.drive	me.proton.android.drive.ui.MainActivity
net.mullvad.mullvadvpn	net.mullvad.mullvadvpn.ui.MainActivity
net.sharewire.parkmobilev2	net.easypark.android.mvp.splash.SplashActivity
nz.co.vista.android.movie.metrotheatres	com.webedia.optimusprime.ui.splash.SplashActivity
org.jitsi.meet	org.jitsi.meet.MainActivity
org.npr.android.news	org.npr.one.StartActivity
org.videolan.vlc	org.videolan.vlc.StartActivity
org.wikipedia	org.wikipedia.main.MainActivity
photo.editor.photoeditor.photoeditorpro	com.camerasideas.collagemaker.activity.DummyActivity
tool.audio.cutter.ringtonemaker	com.ijoysoft.ringtone.activity.WelcomeActivity
tv.remote.control.sonytv	tv.remote.control.sonytv.MainActivity
tv.standard.nebula	tv.standard.nebula.main.view.activities.MainActivity
us.zoom.videomeetings	com.zipow.videobox.LauncherActivity
